Name in English,Degree of endangerment,Number of speakers,Latitude,Longitude,Countries
Wambaya,Critically endangered,20,-17.7696,134.923,Australia
Warekena (Brazil),Critically endangered,20,0.7909,-68.3789,Brazil
White Gelao (Vietnam),Severely endangered,20,23.2,105.3333,Vietnam
Mixtec of Tlaltempan,Definitely endangered,19,18.6166,-98.0833,Mexico
Uruak,Critically endangered,19,3.9957,-63.5888,Venezuela
Pacahuara,Critically endangered,18,-11.4369,-65.6762,Bolivia
Ririo,Critically endangered,18,-6.91,156.9671,Solomon Is.
Ava-Canoeiro,Critically endangered,16,-14.0847,-48.0418,Brazil
Chorotega,Critically endangered,16,9.8991,-83.6855,Costa Rica
Ainu (Hokkaido),Critically endangered,15,43.2612,142.8222,Japan
Jaminjung,Severely endangered,15,-15.2417,130.5725,Australia
Mwesen,Critically endangered,15,-13.874,167.5415,Vanuatu
Sechelt,Critically endangered,15,50.0846,-123.7437,Canada
Tanana,Critically endangered,15,64.605,-149.0625,United States of America
Ingalik,Critically endangered,14,62.1655,-156.3134,United States of America
Jingulu,Severely endangered,14,-17.3716,134.187,Australia
Zapotec of Mixtepe,Critically endangered,14,16.2666,-96.3666,Mexico
Woria,Critically endangered,13,-2.4011,136.4886,Indonesia
Aruá,Severely endangered,12,-12.0285,-64.7094,Brazil
Han (United States of America),Critically endangered,12,64.7837,-141.2172,United States of America
Hupa,Critically endangered,12,41.7624,-123.7028,United States of America
Karuk,Severely endangered,12,41.7929,-123.3763,United States of America
Makah,Critically endangered,12,48.3658,-124.6118,United States of America
Ngaatjatjara,Severely endangered,12,-25.1651,127.3535,Australia
Ngaliwuru,Critically endangered,12,-15.5595,131.0614,Australia
Ofayé,Critically endangered,12,-21.361,-52.0532,Brazil
Umpila,Severely endangered,12,-13.0366,143.3386,Australia
Yurok,Critically endangered,12,41.0607,-124.1413,United States of America
Kinikinau,Critically endangered,11,-21.0685,-56.2765,Brazil
Wagiman,Severely endangered,11,-14.1845,131.6546,Australia
Achumawi,Critically endangered,10,40.8816,-122.6715,United States of America
Arho,Critically endangered,10,-21.274,165.0503,New Caledonia
Arikara,Critically endangered,10,47.648,-101.8327,United States of America
Ayizi,Critically endangered,10,24.5964,103.7329,China
Bangsa,Critically endangered,10,-16.146,167.389,Vanuatu
Ch'orti' (Honduras),Critically endangered,10,14.9364,-88.865,Honduras
Chung (Thailand),Critically endangered,10,14.4897,99.1661,Thailand
Copper Island Aleut,Critically endangered,10,54.7753,167.5662,Russia
Gros Ventre,Critically endangered,10,48.4824,-108.7639,United States of America
Gweno,Critically endangered,10,-3.7135,37.6501,Tanzania
Hoti,Critically endangered,10,-3.0143,130.3692,Indonesia
Hulung,Critically endangered,10,-2.8614,128.5606,Indonesia
Ibu,Critically endangered,10,1.5269,127.5265,Indonesia
Iranxe,Critically endangered,10,-12.6939,-57.843,Brazil
Kamarian,Critically endangered,10,-3.4366,128.5345,Indonesia
Karajarri,Critically endangered,10,-19.0205,122.3437,Australia
Karipuna,Definitely endangered,10,-10.2284,-64.5556,Brazil
Katawixi,Critically endangered,10,-8.8416,-66.0937,Brazil
Kawaiisu,Critically endangered,10,35.0589,-118.4026,United States of America
Khövsgöl Uryangkhay,Critically endangered,10,50.9722,101.3159,Mongolia
Krenak,Critically endangered,10,-19.1937,-41.1527,Brazil
Kurrama,Critically endangered,10,-21.6383,117.9711,Australia
Lardil,Critically endangered,10,-16.5526,139.3176,Australia
Lom,Critically endangered,10,-1.6751,105.8917,Indonesia
Lorediakarkar,Critically endangered,10,-15.1967,167.0498,Vanuatu
Madngele,Critically endangered,10,-13.3789,130.5395,Australia
Malak Malak,Critically endangered,10,-13.7713,130.6384,Australia
Manchu (Amur),Critically endangered,10,49.7666,127.5,China
Manchu (Nonni),Critically endangered,10,48.0083,124.3542,China
Mandan,Critically endangered,10,47.5165,-102.2461,United States of America
Marrisyefin,Critically endangered,10,-13.934,129.8254,Australia
Massalat,Critically endangered,10,12.7635,20.5993,Chad
Matanvat,Critically endangered,10,-15.8972,167.1947,Vanuatu
Matipu,Critically endangered,10,-12.2366,-53.1875,Brazil
Mawayana (Brazil),Critically endangered,10,-0.9447,-58.2495,"Brazil, Suriname"
Munsee (Canada),Critically endangered,10,42.57,-81.879,Canada
Naati,Critically endangered,10,-16.515,167.4645,Vanuatu
Ngardi,Critically endangered,10,-20.6327,128.5839,Australia
