Country,Name,Status,Speakers,Latitude,Longitude
Ecuador,Quichua (Loja),Severely endangered,45000,-3.6236,-79.2388
Nepal,Chamling,Definitely endangered,44093,27.0499,86.7329
Ireland,Irish,Definitely endangered,44000,53.7876,-9.1845
United Kingdom of Great Britain and Northern Ireland,Irish,Definitely endangered,44000,53.7876,-9.1845
Nigeria,Reshe,Vulnerable,44000,10.8791,4.6115
Mexico,Sierra Otomí,Vulnerable,43468,20.1021,-97.622
Lesotho,Phuthi,Definitely endangered,43000,-29.3791,28.2838
Cook Is.,Rarotongan,Vulnerable,43000,-21.2343,-159.7837
Iran,Khalaj,Vulnerable,42100,34.3751,50.3063
Kazakhstan,Dungan,Definitely endangered,41000,42.4518,78.4643
Kyrgyzstan,Dungan,Definitely endangered,41000,42.4518,78.4643
India,Kheza,Vulnerable,41000,25.6811,94.367
Senegal,Jola-Kassa,Vulnerable,40850,13.1089,-15.8999
Nepal,Satār,Vulnerable,40260,26.5541,87.918
Argentina,Guaraní Boliviano,Vulnerable,40000,-20.1694,-63.8525
Bolivia,Guaraní Boliviano,Vulnerable,40000,-20.1694,-63.8525
India,Gutob,Vulnerable,40000,18.7086,83.5839
Bhutan,Kheng,Vulnerable,40000,27.0786,91.0272
Sudan,Laro,Definitely endangered,40000,10.7685,29.902
India,Minyong,Vulnerable,40000,28.2632,95.0537
Myanmar,Mru,Severely endangered,40000,21.7748,92.2741
Thailand,Patani Malay,Vulnerable,40000,6.6482,100.0387
Peru,"Quechua of Cajatambo, Pasco and northern Junín",Severely endangered,40000,-10.6147,-76.506
Ecuador,Quichua (Napo),Definitely endangered,40000,-0.6371,-77.1459
India,Tangsa,Vulnerable,40000,27.4059,96.427
Niger,Tetserret,Severely endangered,40000,15.4907,6.2072
Peru,Awajun,Vulnerable,39000,-4.3464,-77.8271
India,Khiamngan,Vulnerable,38000,26.0518,95.1031
Sudan,Ngile,Severely endangered,38000,10.7901,29.8635
Laos,Phunoi,Vulnerable,37311,21.6833,102.1
Mexico,Lower Mixe,Vulnerable,37000,16.9616,-95.093
India,Maram,Vulnerable,37000,25.185,93.9715
Russia,Western Mari,Severely endangered,36822,56.3317,46.5545
Nepal,Chepang,Vulnerable,36807,27.7552,84.8144
Mexico,Chontal Tabasco,Severely endangered,36514,17.7607,-92.5936
China,Muji,Definitely endangered,36500,23.6,102.7333
Guatemala,Akatek (Guatemala),Vulnerable,35763,15.5724,-91.4218
Mexico,Huichol,Vulnerable,35724,22.65,-103.5833
